epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,2.304,2.302,0.0998,0.1
1,2.3015,2.3051,0.1028,0.1
2,2.3026,2.303,0.1038,0.1
3,2.3018,2.3029,0.0984,0.094
4,2.3014,2.3038,0.0982,0.094
5,2.3015,2.3034,0.1018,0.1
6,2.3012,2.3034,0.0988,0.1
7,2.3015,2.3027,0.1062,0.094
8,2.3026,2.3029,0.1056,0.101
9,2.3013,2.3019,0.1044,0.094
10,2.3019,2.3031,0.1052,0.1
11,2.3003,2.3032,0.1082,0.094
12,2.3008,2.3029,0.102,0.094
13,2.3014,2.3031,0.1062,0.094
14,2.3023,2.3028,0.1034,0.1
15,2.3012,2.3015,0.1002,0.1
16,2.301,2.3029,0.1012,0.094
17,2.3003,2.3032,0.1062,0.094
18,2.3006,2.3029,0.102,0.1
19,2.3016,2.3036,0.1068,0.1
20,2.3011,2.302,0.1068,0.1
21,2.3003,2.3021,0.1038,0.094
22,2.3005,2.3037,0.1062,0.094
23,2.3008,2.3029,0.1042,0.1
24,2.3005,2.3033,0.1058,0.094
25,2.3008,2.3028,0.1056,0.1
26,2.3,2.3027,0.1068,0.1
27,2.3018,2.3028,0.1068,0.1
28,2.301,2.302,0.1068,0.1
29,2.3012,2.3037,0.1064,0.094
30,2.3005,2.3002,0.1076,0.109
31,2.3013,2.3029,0.1022,0.092
32,2.3013,2.303,0.1076,0.096
33,2.3004,2.3021,0.1082,0.12
34,2.2965,2.292,0.1214,0.129
35,2.2805,2.2807,0.134,0.138
36,2.2658,2.2705,0.1526,0.151
37,2.2548,2.2609,0.1578,0.169
38,2.2382,2.2453,0.1846,0.193
39,2.2229,2.2373,0.2046,0.185
40,2.2052,2.2116,0.2306,0.227
41,2.1847,2.1903,0.243,0.278
42,2.1545,2.1753,0.293,0.281
43,2.1338,2.1442,0.3076,0.314
44,2.1056,2.1272,0.3154,0.319
45,2.0807,2.0854,0.3524,0.341
46,2.0583,2.0835,0.3706,0.353
47,2.0307,2.0464,0.3796,0.387
48,2.0088,2.0357,0.4104,0.384
49,1.9856,2.0002,0.4208,0.423
50,1.9695,1.9804,0.4292,0.441
51,1.9446,1.9634,0.451,0.439
52,1.9263,1.9429,0.4592,0.458
53,1.911,1.9326,0.4526,0.449
54,1.886,1.9279,0.4826,0.446
55,1.8697,1.909,0.4864,0.455
56,1.855,1.8963,0.4854,0.466
57,1.8331,1.9109,0.4888,0.448
58,1.8141,1.8734,0.496,0.477
59,1.8287,1.863,0.503,0.475
60,1.7981,1.8513,0.5026,0.465
61,1.7867,1.8281,0.5098,0.471
62,1.7873,1.8456,0.501,0.479
63,1.7602,1.8093,0.518,0.512
64,1.7555,1.8069,0.5144,0.476
65,1.7483,1.8329,0.5176,0.457
66,1.7301,1.8094,0.5226,0.478
67,1.7117,1.7994,0.5312,0.487
68,1.7079,1.8048,0.533,0.477
69,1.693,1.8049,0.5354,0.45
70,1.6996,1.7729,0.533,0.508
71,1.6727,1.7577,0.5342,0.49
72,1.6607,1.7808,0.5386,0.474
73,1.645,1.7557,0.548,0.498
74,1.6354,1.744,0.541,0.491
75,1.625,1.7596,0.5456,0.503
76,1.6136,1.73,0.5542,0.51
77,1.6111,1.7478,0.5546,0.494
78,1.6084,1.7296,0.5512,0.483
79,1.5958,1.7099,0.5554,0.502
80,1.5863,1.7159,0.557,0.501
81,1.579,1.6971,0.556,0.498
82,1.5441,1.7024,0.57,0.507
83,1.5386,1.6796,0.5626,0.508
84,1.5181,1.6956,0.5712,0.495
85,1.5166,1.6934,0.5756,0.507
86,1.5094,1.6687,0.5804,0.533
87,1.5173,1.6808,0.5768,0.509
88,1.4813,1.6768,0.5842,0.508
89,1.4878,1.6549,0.5848,0.502
90,1.4617,1.6375,0.5964,0.504
91,1.4548,1.6357,0.5944,0.531
92,1.4604,1.6316,0.587,0.516
93,1.4433,1.6424,0.599,0.511
94,1.4272,1.6621,0.609,0.52
95,1.4132,1.6656,0.6002,0.497
96,1.421,1.5953,0.603,0.528
97,1.3926,1.6319,0.615,0.505
98,1.3788,1.6252,0.6106,0.524
99,1.3692,1.6337,0.614,0.508
100,1.3654,1.6167,0.6208,0.512
101,1.3696,1.6209,0.6216,0.52
102,1.342,1.6475,0.6348,0.521
103,1.3312,1.6078,0.633,0.532
104,1.3392,1.6063,0.6272,0.527
105,1.3201,1.6177,0.6242,0.516
